Source,Neighbor 1,Neighbor 2,Neighbor 3,Neighbor 4,Neighbor 5,Neighbor 6,Neighbor 7,Neighbor 8,Neighbor 9,Neighbor 10,Neighbor 11,Neighbor 12,Neighbor 13,Neighbor 14
IAHP,VIKOR,,,,,,,,,,,,,
VIKOR,MOORA,WASPAS,IAHP,COPRAS,EDAS,OCRA,TOPSIS,CRITIC,AHP,FAHP,OWA,ARAS,,
BWM,OWA,,,,,,,,,,,,,
OWA,BWM,FANP,OCRA,TOPSIS,AHP,VIKOR,,,,,,,,
AHP,WASPAS,MLP,FMF,fushy standardization,algorítmos genéticos,Monte Carlo,TOPSIS,SVM,CRITIC,RCR,Borda,NeuroFuzzy,VIKOR,OWA
TOPSIS,WASPAS,PROMETHEEII,entropy,OCRA,MAUT,AHP,CRITIC,ANP,FAHP,Borda,VIKOR,NS theory,OWA,
SVM,KNN,AHP-PROMETHEE II,AHP,,,,,,,,,,,
FMF,AHP,,,,,,,,,,,,,
FAHP,WASPAS,MOORA,FVIKOR,COPRAS,EDAS,FTOPSIS,TOPSIS,MAUT,Simulation Model,MFAHP,VIKOR,ARAS,,
AHP-PROMETHEE II,SVM,KNN,,,,,,,,,,,,
KNN,SVM,AHP-PROMETHEE II,,,,,,,,,,,,
FANP,f-MIGP,FVIKOR,OWA,,,,,,,,,,,
FVIKOR,FAHP,FANP,,,,,,,,,,,,
Fuzzy SWARA,Fuzzy MARCOS,,,,,,,,,,,,,
Fuzzy MARCOS,Fuzzy SWARA,,,,,,,,,,,,,
RCR,AHP,,,,,,,,,,,,,
NeuroFuzzy,AHP,,,,,,,,,,,,,
deep-array wake model,DAWM,,,,,,,,,,,,,
DAWM,deep-array wake model,,,,,,,,,,,,,
Borda,TOPSIS,AHP,,,,,,,,,,,,
fushy standardization,AHP,,,,,,,,,,,,,
GIAHP,MEREC,DBSCAN,,,,,,,,,,,,
MEREC,GIAHP,DBSCAN,,,,,,,,,,,,
DBSCAN,MEREC,GIAHP,,,,,,,,,,,,
MAUT,WASPAS,TOPSIS,FAHP,,,,,,,,,,,
WASPAS,MOORA,COPRAS,EDAS,TOPSIS,MAUT,AHP,SF-AHP,FAHP,VIKOR,ML models,ARAS,,,
NS theory,PROMETHEEII,TOPSIS,ANP,entropy,,,,,,,,,,
ANP,PROMETHEEII,MABAC,TOPSIS,DEMATEL,entropy,NS theory,,,,,,,,
entropy,PROMETHEEII,TOPSIS,ANP,NS theory,,,,,,,,,,
PROMETHEEII,TOPSIS,ANP,NS theory,entropy,,,,,,,,,,
CRITIC,TOPSIS,VIKOR,AHP,,,,,,,,,,,
MFAHP,FAHP,,,,,,,,,,,,,
SF-AHP,WASPAS,ML models,,,,,,,,,,,,
ML models,WASPAS,SF-AHP,,,,,,,,,,,,
ARAS,MOORA,WASPAS,COPRAS,EDAS,FAHP,VIKOR,,,,,,,,
COPRAS,MOORA,WASPAS,EDAS,FAHP,VIKOR,ARAS,,,,,,,,
EDAS,MOORA,WASPAS,COPRAS,FAHP,VIKOR,ARAS,,,,,,,,
MOORA,WASPAS,COPRAS,EDAS,FAHP,VIKOR,ARAS,,,,,,,,
Simulation Model,FAHP,,,,,,,,,,,,,
Z-FAHP,Z-FTOPSIS,,,,,,,,,,,,,
Z-FTOPSIS,Z-FAHP,,,,,,,,,,,,,
fuzzy SWARA,fuzzy GRA methodologies,,,,,,,,,,,,,
fuzzy GRA methodologies,fuzzy SWARA,,,,,,,,,,,,,
algorítmos genéticos,AHP,,,,,,,,,,,,,
MLP,AHP,,,,,,,,,,,,,
Monte Carlo,AHP,,,,,,,,,,,,,
DEMATEL,MABAC,ANP,,,,,,,,,,,,
MABAC,DEMATEL,ANP,,,,,,,,,,,,
OCRA,TOPSIS,VIKOR,OWA,,,,,,,,,,,
FTOPSIS,FAHP,,,,,,,,,,,,,
f-MIGP,FANP,,,,,,,,,,,,,
INPDW,SSD,,,,,,,,,,,,,
SSD,INPDW,,,,,,,,,,,,,
